Target (x, y, z) -> Joint Angles (theta1, theta2, theta3, theta4, theta5)
[0.67, -1.99, 0.75] -> [-71.39, -42.96, 107.67, -107.67, 0.00]
[-1.83, -0.62, 1.47] -> [-161.28, -28.23, 96.19, -96.19, 0.00]
[-1.44, -0.74, 0.15] -> [-152.80, -76.07, 83.26, -83.26, 0.00]
[0.79, 0.15, 0.35] -> [10.75, -113.47, 30.97, -30.97, 0.00]
[-1.29, 1.64, 1.97] -> [128.19, -0.84, 128.45, -128.45, 0.00]
[0.24, -1.87, -0.52] -> [-82.69, -54.96, 147.84, -147.84, 0.00]
[0.15, -0.44, -0.03] -> [-71.18, -137.35, 36.72, -36.72, 0.00]
[0.12, 0.78, -0.52] -> [81.25, -115.24, 74.65, -74.65, 0.00]
[-0.55, -1.25, 1.24] -> [-113.75, -53.72, 52.63, -52.63, 0.00]
[-1.98, -0.73, 0.29] -> [-159.76, -48.91, 119.37, -119.37, 0.00]
[0.2, -1.49, 0.72] -> [-82.35, -69.58, 61.94, -61.94, 0.00]
[-1.37, -1.67, -0.23] -> [-129.36, -36.51, 166.29, -166.29, 0.00]
[1.66, 0.15, 1.76] -> [5.16, -23.73, 83.51, -83.51, 0.00]
[-1.03, -1.34, 1.6] -> [-127.55, -30.16, 80.59, -80.59, 0.00]
[0.03, 1.17, -0.53] -> [88.53, -97.09, 90.99, -90.99, 0.00]
[-0.75, -0.58, -0.42] -> [-142.28, -109.13, 74.27, -74.27, 0.00]
[-1.71, 1.64, 0.57] -> [136.20, -27.73, 145.11, -145.11, 0.00]
[-1.79, -0.22, 0.48] -> [-172.99, -62.57, 87.02, -87.02, 0.00]
[-0.33, 1.9, 0.19] -> [99.85, -60.05, 105.47, -105.47, 0.00]
[-1.2, -1.1, 0.55] -> [-137.49, -68.98, 72.95, -72.95, 0.00]
[-1.44, 0.63, 0.05] -> [156.37, -79.21, 83.87, -83.87, 0.00]
[0.51, 0.92, 0.27] -> [61.00, -101.79, 45.93, -45.93, 0.00]
[-1.58, 0.51, 0.49] -> [162.11, -68.88, 76.40, -76.40, 0.00]
[-1.72, 0.94, -0.09] -> [151.34, -58.46, 121.24, -121.24, 0.00]
[1.02, 0.31, 0.89] -> [16.91, -79.28, 33.22, -33.22, 0.00]
[1.53, -1.47, 1.96] -> [-43.85, 0.47, 132.24, -132.24, 0.00]
[1.97, -1.31, 1.7] -> [-33.62, 6.09, 159.21, -159.21, 0.00]
[1.17, 0.3, 0.38] -> [14.38, -91.78, 50.79, -50.79, 0.00]
[-1.04, 1.03, -0.69] -> [135.28, -78.89, 120.43, -120.43, 0.00]
[-0.22, 1.51, 0.79] -> [98.29, -66.49, 62.69, -62.69, 0.00]
[-0.54, 1.4, 1.58] -> [111.09, -35.20, 67.33, -67.33, 0.00]
[1.69, -1.27, 0.71] -> [-36.92, -43.04, 109.55, -109.55, 0.00]
[0.53, 0.68, 1.48] -> [52.07, -46.81, 28.17, -28.17, 0.00]
[0.73, 0.84, -0.35] -> [49.01, -101.83, 77.33, -77.33, 0.00]
[-0.67, 1.83, 0.64] -> [110.11, -52.66, 95.61, -95.61, 0.00]
[-0.91, 1.0, -0.61] -> [132.30, -86.73, 106.49, -106.49, 0.00]
[-0.82, -0.64, 0.53] -> [-142.03, -95.61, 37.41, -37.41, 0.00]
[1.73, -0.87, -0.12] -> [-26.70, -59.76, 120.57, -120.57, 0.00]
[0.95, -1.44, -0.29] -> [-56.59, -70.99, 111.60, -111.60, 0.00]
[0.3, -0.45, -1.16] -> [-56.31, -106.25, 119.39, -119.39, 0.00]
[-0.06, -0.02, -0.74] -> [-161.57, -139.56, 76.72, -76.72, 0.00]
[-1.21, -0.79, 1.25] -> [-146.86, -51.29, 57.80, -57.80, 0.00]
[0.68, -1.43, -0.89] -> [-64.57, -60.68, 158.73, -158.73, 0.00]
[0.4, -1.55, -0.17] -> [-75.53, -78.31, 95.70, -95.70, 0.00]
[1.28, 1.51, -0.46] -> [49.71, -47.93, 156.96, -156.96, 0.00]
[-0.23, 1.36, 0.61] -> [99.60, -77.97, 55.64, -55.64, 0.00]
[-1.14, -1.77, -0.12] -> [-122.78, -47.56, 140.90, -140.90, 0.00]
[-0.47, -2.0, 1.36] -> [-103.22, -27.60, 104.91, -104.91, 0.00]
[0.4, -1.14, 0.99] -> [-70.67, -69.74, 41.48, -41.48, 0.00]
[-1.26, 0.04, 1.2] -> [178.18, -58.14, 45.69, -45.69, 0.00]
[1.5, 0.24, 1.88] -> [9.09, -21.03, 77.77, -77.77, 0.00]
[-1.11, 0.25, -0.42] -> [167.31, -100.01, 82.57, -82.57, 0.00]
[0.27, -0.21, -1.46] -> [-37.87, -89.41, 165.34, -165.34, 0.00]
[-0.47, -1.25, 1.01] -> [-110.61, -64.88, 49.38, -49.38, 0.00]
[1.34, 1.08, 1.81] -> [38.87, -20.28, 89.03, -89.03, 0.00]
[-1.24, -0.24, 0.48] -> [-169.05, -86.72, 51.31, -51.31, 0.00]
[1.72, -0.12, -0.19] -> [-3.99, -71.72, 105.78, -105.78, 0.00]
[0.74, 1.98, 0.8] -> [69.51, -41.15, 108.51, -108.51, 0.00]
[-0.22, 0.16, -0.63] -> [143.97, -135.34, 70.38, -70.38, 0.00]
[0.93, 0.52, -0.58] -> [29.21, -101.35, 89.31, -89.31, 0.00]
[0.94, 0.75, 1.82] -> [38.59, -27.17, 57.08, -57.08, 0.00]
[1.16, 1.18, 1.24] -> [45.49, -45.87, 71.75, -71.75, 0.00]
[-1.44, -0.12, 0.88] -> [-175.24, -66.39, 56.72, -56.72, 0.00]
[1.82, 0.81, 0.11] -> [23.99, -56.83, 114.48, -114.48, 0.00]
[-1.99, -0.2, 1.97] -> [-174.26, -4.65, 118.95, -118.95, 0.00]
[-1.94, -0.31, -0.44] -> [-170.92, -50.79, 150.90, -150.90, 0.00]
[0.78, 0.41, 1.6] -> [27.73, -39.31, 32.88, -32.88, 0.00]
[-1.41, 0.54, -0.53] -> [159.04, -79.81, 111.13, -111.13, 0.00]
[-0.43, -0.7, -0.81] -> [-121.56, -107.53, 96.12, -96.12, 0.00]
[1.5, -0.33, 1.09] -> [-12.41, -55.36, 62.56, -62.56, 0.00]
[-0.28, -0.95, -1.1] -> [-106.42, -89.12, 131.26, -131.26, 0.00]
[-1.57, 0.69, 1.43] -> [156.27, -36.58, 78.69, -78.69, 0.00]
[0.13, 1.44, 0.67] -> [84.84, -73.42, 58.88, -58.88, 0.00]
[0.24, 1.23, -0.14] -> [78.96, -95.63, 73.32, -73.32, 0.00]
[1.16, 0.27, 0.32] -> [13.10, -93.89, 51.66, -51.66, 0.00]
[1.39, 0.77, -0.01] -> [28.98, -78.70, 87.49, -87.49, 0.00]
[-1.27, -0.48, 1.82] -> [-159.30, -25.98, 65.78, -65.78, 0.00]
[-0.3, 0.29, -0.66] -> [135.97, -128.60, 74.58, -74.58, 0.00]
[-0.44, -0.7, 1.38] -> [-122.15, -53.49, 23.66, -23.66, 0.00]
[-1.86, -0.44, 1.31] -> [-166.69, -34.88, 91.80, -91.80, 0.00]
[-0.31, 1.9, 1.82] -> [99.27, -14.16, 105.55, -105.55, 0.00]
[-0.87, 1.39, 0.53] -> [122.04, -68.91, 74.16, -74.16, 0.00]
[-0.0, 0.04, -0.75] -> [90.00, -139.99, 77.40, -77.40, 0.00]
[1.5, -0.27, 1.23] -> [-10.20, -50.04, 62.76, -62.76, 0.00]
[0.62, -1.15, 1.48] -> [-61.67, -43.34, 52.97, -52.97, 0.00]
[-0.2, 1.52, 0.33] -> [97.50, -77.69, 71.83, -71.83, 0.00]
[-0.54, 0.85, 1.58] -> [122.43, -40.73, 38.67, -38.67, 0.00]
[0.35, 0.01, -0.93] -> [1.64, -122.77, 93.90, -93.90, 0.00]
[0.19, 0.05, -0.09] -> [14.74, -152.10, 35.37, -35.37, 0.00]
[0.57, 0.62, 0.96] -> [47.41, -82.84, 19.76, -19.76, 0.00]
[-0.77, -1.5, 0.93] -> [-117.17, -55.95, 72.85, -72.85, 0.00]
[0.43, 0.26, 1.78] -> [31.16, -20.44, 24.70, -24.70, 0.00]
[0.62, -1.8, 1.5] -> [-70.99, -28.05, 94.48, -94.48, 0.00]
[-0.51, 0.07, -0.76] -> [172.18, -121.87, 83.65, -83.65, 0.00]
[1.6, 1.43, 0.25] -> [41.79, -46.82, 124.90, -124.90, 0.00]
[-0.64, -1.17, 0.21] -> [-118.68, -88.97, 63.34, -63.34, 0.00]
[0.66, 0.28, 1.43] -> [22.99, -49.37, 19.34, -19.34, 0.00]
[1.81, 1.33, 1.13] -> [36.31, -25.65, 122.07, -122.07, 0.00]
[-1.54, 0.2, 0.77] -> [172.60, -66.09, 64.68, -64.68, 0.00]
[1.48, -0.45, 1.0] -> [-16.91, -58.44, 63.13, -63.13, 0.00]
[-0.83, -0.98, 0.7] -> [-130.26, -78.98, 48.34, -48.34, 0.00]
[0.38, -1.68, 1.12] -> [-77.25, -48.19, 75.66, -75.66, 0.00]
[-0.1, -1.44, 0.44] -> [-93.97, -79.59, 63.22, -63.22, 0.00]
[0.51, 0.24, 0.3] -> [25.20, -129.66, 23.00, -23.00, 0.00]
[-1.02, 0.65, 0.03] -> [147.49, -97.05, 63.36, -63.36, 0.00]
[-1.05, -0.8, -0.44] -> [-142.70, -90.87, 93.23, -93.23, 0.00]
[0.93, -1.61, -0.53] -> [-59.99, -56.91, 145.09, -145.09, 0.00]
[-1.96, 0.21, -0.31] -> [173.88, -54.63, 137.94, -137.94, 0.00]
[-0.84, 1.65, 0.37] -> [116.98, -62.08, 93.42, -93.42, 0.00]
[1.07, -1.24, 0.48] -> [-49.21, -70.08, 75.06, -75.06, 0.00]
[-0.64, -0.55, -0.22] -> [-139.33, -115.88, 58.91, -58.91, 0.00]
[0.79, -1.46, 0.89] -> [-61.58, -58.21, 71.16, -71.16, 0.00]
[0.11, -1.69, 1.64] -> [-86.28, -28.36, 81.87, -81.87, 0.00]
[1.06, 0.07, 1.67] -> [3.78, -35.55, 44.42, -44.42, 0.00]
[0.08, 0.11, -0.49] -> [53.97, -144.91, 59.75, -59.75, 0.00]
[1.12, -0.74, 0.41] -> [-33.45, -84.83, 57.78, -57.78, 0.00]
[1.08, -1.57, -0.47] -> [-55.48, -55.22, 144.86, -144.86, 0.00]
[0.21, -0.33, 0.27] -> [-57.53, -142.37, 18.89, -18.89, 0.00]
[-1.13, -1.25, 1.99] -> [-132.11, -12.91, 93.30, -93.30, 0.00]
[1.92, -1.23, 1.1] -> [-32.64, -24.47, 126.05, -126.05, 0.00]
[-1.14, -1.26, 1.7] -> [-132.14, -25.63, 83.96, -83.96, 0.00]
[-1.53, -1.04, 1.04] -> [-145.79, -46.29, 84.94, -84.94, 0.00]
[-0.98, -1.3, -0.68] -> [-127.01, -69.02, 133.76, -133.76, 0.00]
[-0.39, 1.52, -0.74] -> [104.39, -70.80, 134.31, -134.31, 0.00]
[-0.83, -0.47, -1.08] -> [-150.48, -91.97, 126.80, -126.80, 0.00]
[0.84, -1.26, 1.52] -> [-56.31, -37.64, 66.81, -66.81, 0.00]
[-0.38, 1.4, -0.77] -> [105.19, -77.25, 126.83, -126.83, 0.00]
[1.69, -1.21, 1.67] -> [-35.60, -14.79, 114.69, -114.69, 0.00]
[1.16, 0.38, 1.35] -> [18.14, -51.36, 45.28, -45.28, 0.00]
[1.83, -0.68, 1.52] -> [-20.38, -25.61, 98.96, -98.96, 0.00]
[0.74, -1.41, 1.37] -> [-62.31, -42.35, 69.14, -69.14, 0.00]
[-1.25, -0.15, -1.03] -> [-173.16, -77.40, 141.59, -141.59, 0.00]
[-0.13, 1.93, 0.01] -> [93.85, -60.33, 113.54, -113.54, 0.00]
[-1.14, 1.1, -0.41] -> [136.02, -77.54, 108.27, -108.27, 0.00]
[1.95, -0.71, 1.5] -> [-20.01, -21.64, 109.63, -109.63, 0.00]
[-0.41, -1.66, 1.97] -> [-103.87, -13.30, 94.27, -94.27, 0.00]
[-0.56, -0.9, 1.2] -> [-121.89, -62.50, 33.64, -33.64, 0.00]
[-1.27, 1.03, -0.56] -> [140.96, -72.01, 123.28, -123.28, 0.00]
[-1.66, -1.85, 0.8] -> [-131.90, -9.18, 170.84, -170.84, 0.00]
[0.71, -1.7, -0.05] -> [-67.33, -65.56, 108.24, -108.24, 0.00]
[0.08, 0.1, 1.87] -> [51.34, 2.56, 21.87, -21.87, 0.00]
[-1.43, 1.71, 0.53] -> [129.90, -39.15, 125.51, -125.51, 0.00]
[-1.63, -0.93, 1.61] -> [-150.29, -24.55, 94.89, -94.89, 0.00]
[-0.43, 1.28, 1.47] -> [108.57, -43.11, 55.40, -55.40, 0.00]
[0.68, 1.32, 1.64] -> [62.74, -32.73, 67.90, -67.90, 0.00]
[1.9, -0.71, 1.99] -> [-20.49, -2.52, 122.93, -122.93, 0.00]
[1.28, 0.58, 1.86] -> [24.38, -23.52, 70.03, -70.03, 0.00]
[0.29, 1.07, -0.16] -> [74.84, -102.77, 67.05, -67.05, 0.00]
[-1.55, -0.28, 1.47] -> [-169.76, -38.51, 69.76, -69.76, 0.00]
[-1.12, 0.55, 0.89] -> [153.85, -72.93, 44.21, -44.21, 0.00]
[-0.87, 0.65, 0.49] -> [143.24, -94.67, 40.96, -40.96, 0.00]
[-0.84, -0.49, 1.08] -> [-149.74, -71.54, 27.52, -27.52, 0.00]
[0.68, 0.42, 1.75] -> [31.70, -29.48, 34.68, -34.68, 0.00]
[-0.32, -1.9, 1.56] -> [-99.56, -24.92, 97.74, -97.74, 0.00]
[1.15, -0.32, 0.25] -> [-15.55, -95.08, 54.11, -54.11, 0.00]
[-1.95, -0.19, 1.87] -> [-174.43, -10.79, 110.54, -110.54, 0.00]
[1.04, -0.14, -0.53] -> [-7.67, -102.90, 85.32, -85.32, 0.00]
[1.21, -1.22, -0.0] -> [-45.24, -72.12, 96.15, -96.15, 0.00]
[-0.5, 0.91, -0.54] -> [118.79, -103.27, 85.48, -85.48, 0.00]
[-0.87, 0.72, -0.73] -> [140.39, -95.33, 103.07, -103.07, 0.00]
[-0.09, 1.16, -0.9] -> [94.44, -88.75, 119.53, -119.53, 0.00]
[-0.05, 0.1, -0.2] -> [116.57, -154.03, 41.29, -41.29, 0.00]
[1.98, 1.06, 1.74] -> [28.16, -2.96, 137.60, -137.60, 0.00]
[-1.9, -1.38, 1.25] -> [-144.01, -15.37, 137.11, -137.11, 0.00]
[-0.65, -0.84, 1.47] -> [-127.73, -46.82, 38.63, -38.63, 0.00]
[-1.96, -0.08, -0.15] -> [-177.66, -57.89, 124.98, -124.98, 0.00]
[-1.48, -0.91, 1.38] -> [-148.41, -37.93, 79.47, -79.47, 0.00]
[1.65, -1.08, 1.23] -> [-33.21, -35.39, 95.92, -95.92, 0.00]
[1.27, 1.83, 0.1] -> [55.24, -39.97, 144.06, -144.06, 0.00]
[-0.94, -0.53, -1.05] -> [-150.58, -86.96, 130.55, -130.55, 0.00]
[-1.79, 0.66, -0.18] -> [159.76, -61.09, 121.29, -121.29, 0.00]
[-0.92, 1.65, 1.22] -> [119.14, -38.85, 89.01, -89.01, 0.00]
[-0.41, 1.9, 0.12] -> [102.18, -59.59, 109.54, -109.54, 0.00]
[-0.7, 1.33, -0.36] -> [117.76, -82.37, 99.54, -99.54, 0.00]
[0.68, -0.1, 1.17] -> [-8.37, -70.14, 11.94, -11.94, 0.00]
[1.03, 0.61, -0.36] -> [30.64, -97.66, 81.98, -81.98, 0.00]
[0.92, -1.55, 1.21] -> [-59.31, -42.26, 82.19, -82.19, 0.00]
[-0.32, -1.52, 1.99] -> [-101.89, -15.35, 84.29, -84.29, 0.00]
[-0.67, -1.55, -0.13] -> [-113.38, -73.80, 99.98, -99.98, 0.00]
[0.58, 1.11, -1.09] -> [62.41, -73.54, 151.05, -151.05, 0.00]
[-0.35, 0.57, -0.56] -> [121.55, -120.02, 73.55, -73.55, 0.00]
[-0.66, 0.11, -0.18] -> [170.54, -125.09, 50.71, -50.71, 0.00]
[-1.2, -1.24, 1.72] -> [-134.06, -24.13, 86.45, -86.45, 0.00]
[-0.89, 0.11, 1.41] -> [172.95, -51.37, 28.13, -28.13, 0.00]
[-1.2, -0.58, -1.06] -> [-154.20, -69.47, 155.26, -155.26, 0.00]
[-0.08, -2.0, -0.12] -> [-92.29, -55.49, 127.49, -127.49, 0.00]
[0.01, -1.68, 1.53] -> [-89.66, -33.38, 78.22, -78.22, 0.00]
[-1.41, -0.46, 0.98] -> [-161.93, -61.32, 58.90, -58.90, 0.00]
[0.33, -1.06, 0.23] -> [-72.71, -99.56, 50.37, -50.37, 0.00]
[1.34, -1.52, 1.42] -> [-48.60, -26.60, 103.39, -103.39, 0.00]
[0.11, -0.59, -1.35] -> [-79.44, -91.37, 148.61, -148.61, 0.00]
[1.19, 1.76, -0.03] -> [55.94, -47.35, 137.04, -137.04, 0.00]
[0.13, 1.99, -0.34] -> [86.26, -51.85, 144.09, -144.09, 0.00]
[1.22, -1.78, -0.2] -> [-55.57, -39.15, 159.85, -159.85, 0.00]
[-1.54, -0.66, 0.26] -> [-156.80, -72.09, 83.49, -83.49, 0.00]
[-1.51, 1.27, 1.66] -> [139.93, -19.29, 104.42, -104.42, 0.00]
[-0.28, 0.7, 0.53] -> [111.80, -110.74, 22.40, -22.40, 0.00]
[0.05, -0.52, 1.59] -> [-84.51, -33.24, 16.56, -16.56, 0.00]
[-1.15, -0.57, -0.57] -> [-153.63, -90.92, 99.63, -99.63, 0.00]
[-0.46, -0.31, -1.2] -> [-146.02, -103.67, 124.36, -124.36, 0.00]
[-0.46, 1.81, -0.21] -> [104.26, -63.33, 119.23, -119.23, 0.00]
[0.13, -1.39, 0.27] -> [-84.66, -85.08, 65.05, -65.05, 0.00]
[-0.14, 1.27, 0.57] -> [96.29, -83.51, 50.18, -50.18, 0.00]
[-1.61, 1.02, 1.3] -> [147.64, -35.44, 91.24, -91.24, 0.00]
[-1.1, 1.66, 1.12] -> [123.53, -38.18, 96.75, -96.75, 0.00]
[-0.54, 0.5, 0.27] -> [137.20, -119.21, 31.13, -31.13, 0.00]
[-1.01, -1.55, 0.42] -> [-123.09, -61.40, 92.01, -92.01, 0.00]
[1.17, -0.8, 0.08] -> [-34.36, -86.48, 73.01, -73.01, 0.00]
[-0.13, -0.92, 0.81] -> [-98.04, -88.60, 25.91, -25.91, 0.00]
[0.01, -1.36, 1.94] -> [-89.58, -20.14, 70.43, -70.43, 0.00]
[-0.51, -1.74, 1.96] -> [-106.34, -11.22, 101.76, -101.76, 0.00]
[1.2, 0.27, 0.18] -> [12.68, -94.41, 58.57, -58.57, 0.00]
[1.38, 0.75, -0.5] -> [28.52, -76.97, 113.42, -113.42, 0.00]
[1.01, 0.8, 1.32] -> [38.38, -51.61, 48.89, -48.89, 0.00]
[-0.84, 1.01, 1.19] -> [129.75, -57.33, 48.87, -48.87, 0.00]
[1.25, -0.25, 1.18] -> [-11.31, -58.78, 46.37, -46.37, 0.00]
[1.0, -0.55, 1.79] -> [-28.81, -28.95, 52.72, -52.72, 0.00]
[-1.78, 0.86, -0.09] -> [154.21, -57.38, 122.98, -122.98, 0.00]
[0.38, 1.11, -0.52] -> [71.10, -97.10, 90.48, -90.48, 0.00]
[-1.26, 0.58, 0.37] -> [155.28, -83.65, 61.56, -61.56, 0.00]
[1.21, 1.93, 1.09] -> [57.91, -24.88, 125.71, -125.71, 0.00]
[-0.04, 1.12, 0.58] -> [92.05, -90.15, 40.78, -40.78, 0.00]
[1.35, -0.32, 0.62] -> [-13.34, -77.33, 55.97, -55.97, 0.00]
[0.35, 0.49, -0.92] -> [54.46, -113.47, 98.24, -98.24, 0.00]
[1.0, 0.22, 0.75] -> [12.41, -87.64, 32.16, -32.16, 0.00]
[0.91, 0.6, -0.48] -> [33.40, -101.64, 83.99, -83.99, 0.00]
[-0.55, -0.08, -0.37] -> [-171.72, -128.63, 58.58, -58.58, 0.00]
[-0.92, -0.77, 0.08] -> [-140.07, -97.09, 60.79, -60.79, 0.00]
[-1.32, 0.12, 1.38] -> [174.81, -47.94, 52.13, -52.13, 0.00]
[-1.36, -0.05, 1.37] -> [-177.89, -47.72, 54.15, -54.15, 0.00]
[1.17, 0.85, 0.58] -> [36.00, -76.00, 60.39, -60.39, 0.00]
[-0.61, -0.15, 1.79] -> [-166.18, -23.74, 29.51, -29.51, 0.00]
[-1.35, -0.89, -0.14] -> [-146.60, -77.52, 95.33, -95.33, 0.00]
[0.35, -1.22, -0.74] -> [-73.99, -88.11, 111.55, -111.55, 0.00]
[-0.32, -1.99, 1.96] -> [-99.14, -4.51, 120.05, -120.05, 0.00]
[1.02, -0.61, 1.45] -> [-30.88, -46.59, 45.34, -45.34, 0.00]
[0.8, -1.32, 1.86] -> [-58.78, -21.57, 78.61, -78.61, 0.00]
[0.75, -0.31, -0.65] -> [-22.46, -111.79, 84.04, -84.04, 0.00]
[0.85, -1.62, 1.66] -> [-62.31, -23.91, 92.51, -92.51, 0.00]
[0.31, 1.9, 0.01] -> [80.73, -60.87, 112.69, -112.69, 0.00]
[0.38, 1.0, -0.92] -> [69.19, -92.78, 116.20, -116.20, 0.00]
[-1.32, 0.29, 1.86] -> [167.61, -24.10, 66.86, -66.86, 0.00]
[-0.52, -0.82, 0.4] -> [-122.38, -103.01, 37.41, -37.41, 0.00]
[1.75, 0.52, 0.65] -> [16.55, -58.05, 85.60, -85.60, 0.00]
[-0.63, 1.9, 0.68] -> [108.34, -49.30, 99.56, -99.56, 0.00]
[-1.66, -0.09, 0.89] -> [-176.90, -58.12, 71.33, -71.33, 0.00]
[0.59, 0.27, 1.87] -> [24.59, -19.70, 34.03, -34.03, 0.00]
[-1.54, 0.33, -0.54] -> [167.91, -76.00, 116.72, -116.72, 0.00]
[-0.7, -1.72, -0.06] -> [-112.15, -64.72, 109.99, -109.99, 0.00]
[-0.89, -0.23, 1.95] -> [-165.51, -19.79, 48.53, -48.53, 0.00]
[1.93, -0.92, 1.84] -> [-25.49, -4.58, 127.94, -127.94, 0.00]
[-1.64, 0.75, 1.0] -> [155.42, -49.33, 81.34, -81.34, 0.00]
[-1.02, -1.45, 0.57] -> [-125.12, -62.17, 82.92, -82.92, 0.00]
[-1.07, -1.14, 1.67] -> [-133.19, -29.90, 73.81, -73.81, 0.00]
[1.39, 0.26, 0.45] -> [10.59, -80.68, 61.15, -61.15, 0.00]
[1.09, 0.6, -0.35] -> [28.83, -95.43, 83.82, -83.82, 0.00]
[1.65, 0.09, 1.16] -> [3.12, -49.01, 70.91, -70.91, 0.00]
[-0.22, -1.48, 0.47] -> [-98.46, -76.57, 65.87, -65.87, 0.00]
[-0.02, 1.34, 0.49] -> [90.86, -83.00, 55.67, -55.67, 0.00]
[0.79, -1.59, 0.64] -> [-63.58, -60.48, 81.96, -81.96, 0.00]
[-1.26, -0.44, 0.95] -> [-160.75, -67.45, 49.39, -49.39, 0.00]
[1.08, 0.71, 0.31] -> [33.32, -89.24, 57.71, -57.71, 0.00]
[0.16, 0.72, -1.29] -> [77.47, -89.80, 144.70, -144.70, 0.00]
[0.05, 0.47, -0.45] -> [83.93, -131.11, 61.67, -61.67, 0.00]
[-1.13, -0.63, 0.4] -> [-150.86, -87.30, 55.17, -55.17, 0.00]
[-1.07, -0.94, -1.04] -> [-138.70, -61.36, 167.44, -167.44, 0.00]
[-1.09, -1.52, 1.71] -> [-125.64, -20.60, 97.24, -97.24, 0.00]
[-0.67, 0.65, -0.11] -> [135.87, -111.57, 56.74, -56.74, 0.00]
[-0.3, 1.41, 0.24] -> [102.01, -83.41, 68.78, -68.78, 0.00]
[-1.01, -1.29, 1.05] -> [-128.06, -53.53, 69.44, -69.44, 0.00]
[1.22, -0.17, -0.23] -> [-7.93, -96.61, 76.69, -76.69, 0.00]
[-1.3, -0.29, -0.16] -> [-167.42, -91.77, 78.56, -78.56, 0.00]
[0.5, -1.69, 0.38] -> [-73.52, -66.21, 86.34, -86.34, 0.00]
[0.67, -1.03, 0.72] -> [-56.96, -80.50, 44.68, -44.68, 0.00]
[-1.67, -0.63, -0.73] -> [-159.33, -50.96, 166.29, -166.29, 0.00]
[1.91, -1.29, 0.3] -> [-34.03, -34.27, 145.26, -145.26, 0.00]
[-0.45, -0.91, 1.81] -> [-116.31, -27.88, 47.08, -47.08, 0.00]
[0.78, -1.66, -0.34] -> [-64.83, -63.81, 124.68, -124.68, 0.00]
[0.69, 0.25, -1.0] -> [19.92, -105.24, 109.21, -109.21, 0.00]
[-1.86, -0.51, -0.52] -> [-164.67, -50.33, 155.82, -155.82, 0.00]
[-0.55, -0.27, 0.54] -> [-153.85, -119.25, 15.30, -15.30, 0.00]
[-1.47, -1.26, 1.78] -> [-139.40, -15.53, 105.06, -105.06, 0.00]
[0.01, -1.8, 1.56] -> [-89.68, -28.89, 87.67, -87.67, 0.00]
[-0.37, 1.84, 0.29] -> [101.37, -61.84, 97.76, -97.76, 0.00]
[-0.66, -0.73, -0.83] -> [-132.12, -99.65, 104.17, -104.17, 0.00]
[1.77, -1.73, 1.01] -> [-44.35, -8.83, 161.88, -161.88, 0.00]
[-1.03, 1.26, 1.76] -> [129.26, -24.57, 80.79, -80.79, 0.00]
[1.11, -1.43, 0.2] -> [-52.18, -66.15, 95.39, -95.39, 0.00]
[1.43, -0.29, 1.29] -> [-11.46, -49.17, 59.18, -59.18, 0.00]
[1.98, -1.04, -0.09] -> [-27.71, -32.26, 167.44, -167.44, 0.00]
[-0.12, -0.76, 0.51] -> [-98.97, -110.60, 23.79, -23.79, 0.00]
[-0.98, -1.91, 1.33] -> [-117.16, -24.54, 113.44, -113.44, 0.00]
[1.8, 0.91, 0.81] -> [26.82, -45.66, 99.45, -99.45, 0.00]
[-1.26, 1.44, -0.26] -> [131.19, -59.79, 127.15, -127.15, 0.00]
[-1.92, -0.25, 0.93] -> [-172.58, -46.12, 91.90, -91.90, 0.00]
[1.77, -0.75, 1.85] -> [-22.96, -12.93, 106.44, -106.44, 0.00]
[-0.34, 1.08, -0.55] -> [107.47, -98.64, 90.43, -90.43, 0.00]
[-1.88, 1.17, 1.2] -> [148.10, -25.33, 119.01, -119.01, 0.00]
[-1.78, -0.56, 1.27] -> [-162.54, -37.92, 87.69, -87.69, 0.00]
[0.9, 1.58, 1.83] -> [60.33, -16.93, 97.08, -97.08, 0.00]
[-1.02, 0.77, 0.47] -> [142.95, -86.31, 52.43, -52.43, 0.00]
[-0.73, 0.2, 1.28] -> [164.68, -60.87, 17.66, -17.66, 0.00]
[-0.77, -0.95, 1.45] -> [-129.03, -46.12, 47.35, -47.35, 0.00]
[-1.07, 0.04, 0.55] -> [177.86, -93.48, 38.63, -38.63, 0.00]
[-0.12, 1.29, 1.63] -> [95.31, -36.01, 56.11, -56.11, 0.00]
[1.42, -1.72, 0.71] -> [-50.46, -36.41, 122.00, -122.00, 0.00]
[0.64, 1.15, -0.94] -> [60.90, -78.61, 134.48, -134.48, 0.00]
[1.38, -1.82, 0.05] -> [-52.83, -31.88, 161.40, -161.40, 0.00]
[-0.53, 0.32, 0.15] -> [148.88, -127.92, 32.02, -32.02, 0.00]
[-1.76, 0.24, 0.31] -> [172.23, -66.58, 89.30, -89.30, 0.00]
[-0.94, 0.67, -0.08] -> [144.52, -100.38, 65.42, -65.42, 0.00]
[-0.42, -0.59, -0.76] -> [-125.45, -113.08, 89.11, -89.11, 0.00]
[-1.45, 0.17, 1.46] -> [173.31, -41.49, 62.04, -62.04, 0.00]
[-1.69, 1.45, 0.25] -> [139.37, -40.97, 135.29, -135.29, 0.00]
[-0.27, 1.35, 0.68] -> [101.31, -75.91, 54.35, -54.35, 0.00]
[-0.03, -1.43, 0.18] -> [-91.20, -84.77, 70.11, -70.11, 0.00]
